SerialNumber,EpochTime,Latitude,Longitude,APName,RSSI,Frequency,
92,1601188889845,26.52684019,128.02827433,AP004,-85, 2412,
93,1601188890840,26.52683546,128.02827156,AP003,-66, 2432,
93,1601188890840,26.52683546,128.02827156,AP001,-68, 2462,
93,1601188890840,26.52683546,128.02827156,AP002,-83, 2447,
94,1601188891848,26.52683038,128.02826905,AP003,-66, 2432,
94,1601188891848,26.52683038,128.02826905,AP001,-68, 2462,
94,1601188891848,26.52683038,128.02826905,AP002,-83, 2447,
95,1601188892842,26.52682468,128.02826811,AP001,-65, 2462,
95,1601188892842,26.52682468,128.02826811,AP002,-79, 2447,
95,1601188892842,26.52682468,128.02826811,AP004,-84, 2412,
96,1601188893859,26.52681955,128.02826763,AP001,-65, 2462,
96,1601188893859,26.52681955,128.02826763,AP002,-79, 2447,
96,1601188893859,26.52681955,128.02826763,AP004,-84, 2412,
97,1601188894849,26.52681342,128.02826676,AP001,-66, 2462,
97,1601188894849,26.52681342,128.02826676,AP003,-67, 2432,
97,1601188894849,26.52681342,128.02826676,AP002,-79, 2447,
98,1601188895851,26.52680728,128.02826592,AP001,-66, 2462,
98,1601188895851,26.52680728,128.02826592,AP003,-67, 2432,
98,1601188895851,26.52680728,128.02826592,AP002,-79, 2447,
99,1601188896843,26.52680242,128.02826671,AP001,-63, 2462,
99,1601188896843,26.52680242,128.02826671,AP003,-66, 2432,
99,1601188896843,26.52680242,128.02826671,AP002,-80, 2447,
99,1601188896843,26.52680242,128.02826671,AP004,-87, 2412,
100,1601188897848,26.52679764,128.02826709,AP001,-63, 2462,
100,1601188897848,26.52679764,128.02826709,AP003,-66, 2432,
100,1601188897848,26.52679764,128.02826709,AP002,-80, 2447,
100,1601188897848,26.52679764,128.02826709,AP004,-87, 2412,
101,1601188898854,26.52679306,128.02826663,AP003,-60, 2432,
101,1601188898854,26.52679306,128.02826663,AP001,-68, 2462,
101,1601188898854,26.52679306,128.02826663,AP002,-80, 2447,
102,1601188899848,26.52678611,128.02826672,AP003,-60, 2432,
102,1601188899848,26.52678611,128.02826672,AP001,-68, 2462,
102,1601188899848,26.52678611,128.02826672,AP002,-80, 2447,
103,1601188900848,26.5267812,128.02826754,AP003,-52, 2432,
103,1601188900848,26.5267812,128.02826754,AP001,-73, 2462,
103,1601188900848,26.5267812,128.02826754,AP004,-76, 2412,
103,1601188900848,26.5267812,128.02826754,AP005,-82, 2427,
103,1601188900848,26.5267812,128.02826754,AP002,-85, 2447,
104,1601188901843,26.52677051,128.02826672,AP003,-52, 2432,
104,1601188901843,26.52677051,128.02826672,AP001,-73, 2462,
104,1601188901843,26.52677051,128.02826672,AP004,-76, 2412,
104,1601188901843,26.52677051,128.02826672,AP005,-82, 2427,
104,1601188901843,26.52677051,128.02826672,AP002,-85, 2447,
105,1601188902848,26.52676328,128.02826736,AP003,-47, 2432,
105,1601188902848,26.52676328,128.02826736,AP004,-60, 2412,
105,1601188902848,26.52676328,128.02826736,AP001,-71, 2462,
105,1601188902848,26.52676328,128.02826736,AP002,-86, 2447,
106,1601188903839,26.52675843,128.02826902,AP003,-47, 2432,
106,1601188903839,26.52675843,128.02826902,AP004,-60, 2412,
106,1601188903839,26.52675843,128.02826902,AP001,-71, 2462,
106,1601188903839,26.52675843,128.02826902,AP002,-86, 2447,
107,1601188904835,26.52674971,128.028269,AP003,-40, 2432,
107,1601188904835,26.52674971,128.028269,AP001,-71, 2462,
107,1601188904835,26.52674971,128.028269,AP004,-79, 2412,
107,1601188904835,26.52674971,128.028269,AP002,-81, 2447,
108,1601188905853,26.5267437,128.02826328,AP003,-40, 2432,
